,text_a,label
0,betewe buka twitter cuman ngetweet liat home berita corona panik kepikiran ndamau buka2 home yg aware aja i ll stay at home nda rumah kalo nda penting2 banget,no
1,mas piyuuu mugo2 corona tuh mulut tersumpal ma corona,no
2,e100ss gini buka informasi sejelas nya identitas daerah penderita terjangkit infokan masyarakat mengisolasi nya kontak langsung penderita positif corona ditutup tutupi,yes
3,neng solo wes ono terduga corona cobo neng ati mu neng conora,no
4,midiahn nii akun gak takut takut nya isu corona wkwkwkw,no
5,hey corona prrgi sna,no
6,gara corona masuk ketempat aja mesti scan jidat gw kek jajanan indomaret,no
7,jokowi menteri2 nya silakan tes corona,yes
8,pencegahan corona other moms minum multivitamin my mom minum rebusan sambiloto,yes
9,mamaciaaa mnrut gue jngan dkt2 corona cb dkt yg y puspa jaya damri als dkt tran jakarta aj,no
10,komachiyama tiati corona,no
11,kemenkesri mohon yg transparan mudah spt utk data corona,yes
12,iya gua tau corona ga parno gitu kont l prosedur iya tp gk lebay bikin risih,no
13,gilang mahesa bogor blum,no
14,imajinarii iyaaa kehitung angett minum obat obat nya bikin teler tp gabisa bobo dibawelin sedih emang amiinn makasih ya d amit amit kena corona,no
15,momen dipakai pencitraan semoga masif nya penyebaran corona bikin kapok,no
16,rlt mikirin kata2 ortu ku yg meninggal mekkah aja karna emang bentar berangkat umroh sengaja ga makan obat yg dikasih pencegahan virus corona sumpah gatau bereaksi kayak,no
17,corona udh dmn tp kl emg udh nya meninggal ya mo begimana lg,no
18,jateng jatim jakarta siaga corona info disebar jabar silent yak ga kabar2 nya pisan,yes
19,prediksi pola amp sejarah perjalanan orang indo singapura yg kena corona clear malaysia undertesting indonesia angka 130 terinfeksi rendah probabilitas dll dst back of the hand calculation time will tell,no
20,sebener nya bikin sedih dr corona virus penyebaran nya sih kesadaran orang nya aja masi egois aja pemerintah bikin kebijakan kalo warga nya ga jaga sih tindakan preventif guys,no
21,malem minggu main mall minggu pagi positif covid 19 senin isolasi selasa mati untung gw rebahan dirumah aje,no
22,prabndriapsari corona penulara nya cepat,yes
23,gilang mahesa odikcontinental elisa jkt jabarprovgoid humasjabar efek ga dipublish bisa2 masyarakat ga waspada ga jaga perilaku yg kelompok spreader menyebarluaskan mana2 minimal klo udh tau wilayah nya masuk zona covid 19 ga sembarangan batuk bersin,no
24,corona parah congorna sianjing goblok,no
25,semangat orang pasien yg positif corona org yg sehat terkait yg berjuang melawan corona perlahan tp corona menyebar luas bertambah lupa berdoa cuci tangan pk masker,no
26,wow akhirny sy dieditin pake masker thx spilldalattetuk menghindari virus corona onlen,no
27,dhonipusing rumah sakit daftar peserta simulasi covid 19,yes
28,buatsiapa17 khrsmallm ga corona gak,no
29,jimanah dikriminalisasi aja nih virus corona masak jenderal berani2 nya tuh virus terpapar faham radikar fpi kah cek fakta tito karnavian istri positif virus corona,yes
30,edc yukk sempetin habis sholat baca doa semoga corona corona end before ramadhan,no
31,skrinews dr pingkan pijoh mphm dk satgas covid 19 skrining antisipasi virus corona ke penumpang km sinabung,yes
32,tangkal corona prancis tutup toko restoran bar,yes
33,tangkal corona hashim pemerintah cepat,yes
34,memes do covid 19 semana 1 vs semana 2,no
35,anak keluarga nya belajar rumah jalan2 mengunjungi kumpulan orang ketempat saudara mall dll seandainya jalan2 10 terlular covid 19 yg ku njungi 14 15 tanda2,no
36,kelapam1 dpn gdg merdeka malem penuh kegembiraan malem minggu semoga covid 19 melunturkan kegembiraan waspada,no
37,savsap tetep aja citayem anti corona haha,no
38,nge broadcast info ttg corona please please pastikan sumber nya kredibel nambahi ke chaosan sebarin info2 hoax smartphone for smart people,yes
39,nampak how stupid most of our menteri are waktu2 pandemik ni situ berebut kuasa bergaduh pasal parti instead of bekerjasama membendung this corona mengkali dorang yg kena ba ni urgent meeting lockdown njayyyyy,no
40,moonforest choihanie thank you sama2 semoga sehat2 corona corona cepet,no
41,hey berita hoax ttg corona please just stop papap parno panik posesif stoppolitisasicorona stoppaniklawancorona stopcoronavirus,no
42,corona ku merana dirumahaja,no
43,luqmenh corona ni mmg nak lonely sial coronafa ku,no
44,dadi kangen nonton pakde lgsg tp wedi corona,no
45,mas piyuuu amare15 aniesbaswedan jujur disebar nya berita pribadi panik meningkatkan kewaspadaan kesadaran senantiasa menjaga kebersihan melawan corona,no
46,kabinet kena corona gimana ya duh,yes
47,kota negara lock down presiden negara lengah hadapi pandemi virus corona kerja nya warga warga nya yan,yes
48,astaghfirullah deket rumah udh yg positif corona,yes
49,fadlizon msaid didu congor luh ruqyah zonk biar pas mati kena corona arwah lo gak gentayangan jdi hantu pnasaran,no
50,sat lantas polres dairi sosialisasi tertib lalulintas cegah corona pakai bahasa pakpak,yes
51,deviliadp hyg ramen ngan corona,no
52,org tua madah nang sik jerakk ekor tok nya sampei dajjal kelua imam mahdi turun lom juak kali settle corona tok mun dah gia gilak,no
53,schrijnemakerss virus corona berubah duitt,no
54,niatan touring ditunda corona,no
55,harap2 issue corona ni berlarut festival fyp takdelah student2 stress,no
56,cauchemar exe corona gang,no
57,anak kodokkkk dennysiregar7 tdk salahkan peesiden umumin virus corona deny orang bicara virus corona bully nya menyebarkan isu tdk presiden umumin tdk bully gitu cerita nya ok,yes
58,awal maret dibuka positif nya indonesia terjangkit corona,yes
59,panik virus corona besok aa kudu banyakin stoct suplemen pendidik sistem imun biar pintar dlm mengenali melawan virus bakteri kuman parasit lindungilah virus wabah penyakit yg mematikan amin coronavirusupdates covid19indonesia covid19 https t co t8stevag1q,no
60,tuhan corona udh masuk ni ya terserah sih kalo liat arsenal juara piala dunia klub dipanggil mohon kabulkanlah doa ya tuhan,no
61,berdasarkan informasi yg diumumkan presiden jokowi 2 warga negara indonesia positif terinfeksi virus corona yuk menjaga tubuh fit amp rajin mencuci tangan sohib indonesiabaik yangmudasukadata dailyissue programpemerintah viruscorona covid19 https t co sc0qijt0y5,yes
